paso,equipo,sensor,valor,unidad,en_falla,estado_equipo
35,MOTOR-01,CORR,13.92,A,False,ALERTA
36,MOTOR-01,TEMP,83.76,°C,False,ALERTA
36,MOTOR-01,VIB,5.03,mm/s,False,ALERTA
36,MOTOR-01,CORR,13.37,A,False,ALERTA
37,MOTOR-01,TEMP,83.66,°C,False,ALERTA
37,MOTOR-01,VIB,5.05,mm/s,False,ALERTA
37,MOTOR-01,CORR,13.67,A,False,ALERTA
38,MOTOR-01,TEMP,84.84,°C,False,ALERTA
38,MOTOR-01,VIB,5.15,mm/s,False,ALERTA
38,MOTOR-01,CORR,14.0,A,False,ALERTA
39,MOTOR-01,TEMP,83.44,°C,False,ALERTA
39,MOTOR-01,VIB,5.01,mm/s,False,ALERTA
39,MOTOR-01,CORR,14.28,A,False,ALERTA
40,MOTOR-01,TEMP,85.19,°C,False,ALERTA
40,MOTOR-01,VIB,5.08,mm/s,False,ALERTA
40,MOTOR-01,CORR,14.44,A,False,ALERTA
41,MOTOR-01,TEMP,85.18,°C,False,ALERTA
41,MOTOR-01,VIB,5.07,mm/s,False,ALERTA
41,MOTOR-01,CORR,14.45,A,False,ALERTA
42,MOTOR-01,TEMP,87.06,°C,False,ALERTA
42,MOTOR-01,VIB,5.34,mm/s,False,ALERTA
42,MOTOR-01,CORR,13.61,A,False,ALERTA
43,MOTOR-01,TEMP,86.97,°C,False,ALERTA
43,MOTOR-01,VIB,5.41,mm/s,False,ALERTA
43,MOTOR-01,CORR,14.18,A,False,ALERTA
44,MOTOR-01,TEMP,86.77,°C,False,ALERTA
44,MOTOR-01,VIB,5.41,mm/s,False,ALERTA
44,MOTOR-01,CORR,14.27,A,False,ALERTA
45,MOTOR-01,TEMP,86.64,°C,False,ALERTA
45,MOTOR-01,VIB,5.31,mm/s,False,ALERTA
45,MOTOR-01,CORR,14.12,A,False,ALERTA
46,MOTOR-01,TEMP,87.94,°C,False,ALERTA
46,MOTOR-01,VIB,5.44,mm/s,False,ALERTA
46,MOTOR-01,CORR,14.61,A,False,ALERTA
47,MOTOR-01,TEMP,87.3,°C,False,ALERTA
47,MOTOR-01,VIB,5.65,mm/s,False,ALERTA
47,MOTOR-01,CORR,14.48,A,False,ALERTA
48,MOTOR-01,TEMP,88.89,°C,False,ALERTA
48,MOTOR-01,VIB,5.72,mm/s,False,ALERTA
48,MOTOR-01,CORR,14.01,A,False,ALERTA
49,MOTOR-01,TEMP,89.92,°C,False,ALERTA
49,MOTOR-01,VIB,5.8,mm/s,False,ALERTA
49,MOTOR-01,CORR,14.04,A,False,ALERTA
50,MOTOR-01,TEMP,90.65,°C,True,FALLA
50,MOTOR-01,VIB,6.2,mm/s,False,FALLA
50,MOTOR-01,CORR,14.09,A,False,FALLA
51,MOTOR-01,TEMP,90.01,°C,True,FALLA
51,MOTOR-01,VIB,6.06,mm/s,False,FALLA
51,MOTOR-01,CORR,14.58,A,False,FALLA
52,MOTOR-01,TEMP,90.41,°C,True,FALLA
52,MOTOR-01,VIB,6.11,mm/s,False,FALLA
52,MOTOR-01,CORR,14.58,A,False,FALLA
53,MOTOR-01,TEMP,90.91,°C,True,FALLA
53,MOTOR-01,VIB,6.04,mm/s,False,FALLA
53,MOTOR-01,CORR,14.89,A,False,FALLA
54,MOTOR-01,TEMP,91.66,°C,True,FALLA
54,MOTOR-01,VIB,5.94,mm/s,False,FALLA
54,MOTOR-01,CORR,14.55,A,False,FALLA
55,MOTOR-01,TEMP,90.53,°C,True,FALLA
55,MOTOR-01,VIB,6.19,mm/s,False,FALLA
55,MOTOR-01,CORR,15.09,A,False,FALLA
56,MOTOR-01,TEMP,91.61,°C,True,FALLA
56,MOTOR-01,VIB,6.42,mm/s,False,FALLA
56,MOTOR-01,CORR,14.79,A,False,FALLA
57,MOTOR-01,TEMP,92.49,°C,True,FALLA
57,MOTOR-01,VIB,6.45,mm/s,False,FALLA
57,MOTOR-01,CORR,14.97,A,False,FALLA
58,MOTOR-01,TEMP,92.88,°C,True,FALLA
58,MOTOR-01,VIB,6.74,mm/s,False,FALLA
58,MOTOR-01,CORR,14.73,A,False,FALLA
59,MOTOR-01,TEMP,93.37,°C,True,FALLA
59,MOTOR-01,VIB,6.54,mm/s,False,FALLA
59,MOTOR-01,CORR,14.76,A,False,FALLA
60,MOTOR-01,TEMP,93.51,°C,True,FALLA
60,MOTOR-01,VIB,6.72,mm/s,False,FALLA
60,MOTOR-01,CORR,14.27,A,False,FALLA
